,Priority,Status,Issue id,Issue key,Created,Resolved
58,P4,Resolved,CLIENT-5051,CLIENT,2016-08-09T14:13:28.000,2018-05-21T15:17:45.000
59,P3,Resolved,CLIENT-5052,CLIENT,2016-08-09T14:14:43.000,2018-05-21T15:18:35.000
60,P2,Closed,SERVER-4745,SERVER,2016-08-10T08:30:15.000,2016-11-28T22:51:19.000
61,Needs_Triage,Resolved,SERVER-4746,SERVER,2016-08-10T09:29:35.000,2018-02-12T17:22:33.000
62,Needs_Triage,Resolved,SERVER-4748,SERVER,2016-08-10T12:36:35.000,2016-09-29T12:16:08.000
63,P2,Resolved,CLIENT-5053,CLIENT,2016-08-10T17:30:52.000,2016-09-06T13:49:33.000
64,P3,Resolved,SERVER-4750,SERVER,2016-08-10T19:10:32.000,2016-09-29T12:19:58.000
65,Needs_Triage,Closed,SERVER-4751,SERVER,2016-08-11T09:50:42.000,2016-08-15T10:39:17.000
66,Needs_Triage,Resolved,CLIENT-5055,CLIENT,2016-08-12T13:16:32.000,2016-10-17T09:04:32.000
67,Needs_Triage,Resolved,SERVER-4756,SERVER,2016-08-12T13:34:26.000,2018-02-12T17:22:34.000
68,Needs_Triage,Resolved,SERVER-4758,SERVER,2016-08-14T04:18:37.000,2016-08-15T08:28:23.000
69,Needs_Triage,Resolved,SERVER-4759,SERVER,2016-08-14T04:40:22.000,2016-08-15T08:00:20.000
70,Needs_Triage,Resolved,SERVER-4760,SERVER,2016-08-14T06:05:28.000,2016-08-15T08:00:46.000
71,P3,Resolved,CLIENT-5056,CLIENT,2016-08-15T11:18:44.000,2017-03-02T10:48:52.000
72,Needs_Triage,Resolved,SERVER-4762,SERVER,2016-08-15T11:43:46.000,2018-02-12T17:22:34.000
73,P4,Resolved,CLIENT-5057,CLIENT,2016-08-15T12:29:46.000,2018-05-21T15:18:49.000
74,Needs_Triage,Resolved,CLIENT-5058,CLIENT,2016-08-16T08:22:22.000,2016-10-17T09:02:19.000
75,P3,Resolved,CLIENT-5059,CLIENT,2016-08-16T09:07:22.000,2016-09-23T14:21:20.000
76,Needs_Triage,Resolved,SERVER-4765,SERVER,2016-08-16T13:30:38.000,2018-02-12T17:22:34.000
77,P1,Resolved,CLIENT-5060,CLIENT,2016-08-16T13:41:01.000,2016-08-16T15:51:01.000
78,Needs_Triage,Resolved,SERVER-4766,SERVER,2016-08-16T13:44:14.000,2016-10-25T20:11:51.000
79,Needs_Triage,Resolved,SERVER-4767,SERVER,2016-08-16T13:51:35.000,2016-09-05T14:50:16.000
80,Needs_Triage,Resolved,CLIENT-5061,CLIENT,2016-08-16T14:20:24.000,2016-08-23T14:57:27.000
81,Needs_Triage,Resolved,CLIENT-5063,CLIENT,2016-08-17T10:50:29.000,2016-08-19T13:20:59.000
82,P1,Resolved,CLIENT-5064,CLIENT,2016-08-17T12:53:20.000,2016-08-19T15:31:07.000
83,Needs_Triage,Resolved,SERVER-4772,SERVER,2016-08-17T13:48:51.000,2016-08-17T14:15:46.000
84,P2,Resolved,CLIENT-5065,CLIENT,2016-08-17T15:00:39.000,2016-12-07T16:57:13.000
85,Needs_Triage,Resolved,SERVER-4773,SERVER,2016-08-17T15:11:32.000,2018-02-12T17:22:34.000
86,P2,Resolved,CLIENT-5066,CLIENT,2016-08-17T15:21:38.000,2016-10-27T13:47:20.000
87,Needs_Triage,Resolved,CLIENT-5067,CLIENT,2016-08-17T15:29:42.000,2016-08-19T15:10:16.000
88,P2,Resolved,CLIENT-5068,CLIENT,2016-08-17T15:46:55.000,2016-08-19T14:37:14.000
89,Needs_Triage,Resolved,CLIENT-5069,CLIENT,2016-08-17T15:47:59.000,2018-05-21T15:19:08.000
90,P3,Resolved,CLIENT-5070,CLIENT,2016-08-17T15:51:55.000,2016-09-26T16:04:25.000
91,P2,Closed,CLIENT-5071,CLIENT,2016-08-17T15:57:16.000,2016-08-31T15:44:09.000
92,P3,Resolved,CLIENT-5072,CLIENT,2016-08-17T16:17:14.000,2018-02-12T17:20:25.000
93,P2,Resolved,CLIENT-5073,CLIENT,2016-08-17T16:39:36.000,2018-02-12T17:20:25.000
94,P3,Closed,CLIENT-5074,CLIENT,2016-08-17T16:42:46.000,2016-08-31T10:37:13.000
95,P3,Resolved,CLIENT-5075,CLIENT,2016-08-17T17:01:07.000,2017-02-22T14:43:46.000
96,P3,Resolved,CLIENT-5076,CLIENT,2016-08-17T17:03:23.000,2018-05-21T15:19:26.000
97,P2,Resolved,CLIENT-5077,CLIENT,2016-08-17T17:21:47.000,2016-10-03T17:57:34.000
98,P3,Resolved,SERVER-4778,SERVER,2016-08-18T09:25:07.000,2016-08-22T09:48:32.000
99,P2,Closed,CLIENT-5079,CLIENT,2016-08-18T11:21:33.000,2016-08-31T15:57:30.000
100,P2,Resolved,CLIENT-5080,CLIENT,2016-08-18T12:51:55.000,2016-09-01T14:32:05.000
101,Needs_Triage,Resolved,SERVER-4782,SERVER,2016-08-19T09:26:58.000,2016-11-02T12:36:09.000
102,P3,Resolved,CLIENT-5082,CLIENT,2016-08-19T11:16:12.000,2017-03-02T11:08:07.000
103,Needs_Triage,Closed,SERVER-5166,SERVER,2016-08-19T16:20:30.000,2016-09-02T11:31:26.000
104,Needs_Triage,Resolved,SERVER-5189,SERVER,2016-08-22T09:28:07.000,2018-02-12T17:22:37.000
105,Needs_Triage,Resolved,SERVER-4785,SERVER,2016-08-22T10:31:07.000,2018-02-12T17:22:34.000
106,P2,Resolved,CLIENT-5083,CLIENT,2016-08-22T10:36:44.000,2016-08-26T15:46:13.000
107,P2,Resolved,CLIENT-5084,CLIENT,2016-08-22T12:33:11.000,2016-09-26T10:48:26.000
108,P2,Resolved,CLIENT-5085,CLIENT,2016-08-22T13:46:49.000,2016-08-26T15:48:56.000
109,Needs_Triage,Resolved,SERVER-4787,SERVER,2016-08-22T16:47:35.000,2016-09-16T15:37:18.000
110,P2,Resolved,CLIENT-5088,CLIENT,2016-08-24T13:13:43.000,2016-09-22T13:22:48.000
111,P2,Resolved,CLIENT-5089,CLIENT,2016-08-24T14:53:34.000,2016-09-06T17:52:33.000
112,P3,Resolved,CLIENT-5090,CLIENT,2016-08-24T15:01:34.000,2018-02-12T17:20:25.000
113,P3,Resolved,CLIENT-5091,CLIENT,2016-08-24T15:02:13.000,2016-11-02T12:33:54.000
114,P2,Resolved,CLIENT-5092,CLIENT,2016-08-25T11:52:55.000,2016-10-17T10:45:24.000
115,P3,Resolved,CLIENT-5093,CLIENT,2016-08-26T10:44:35.000,2016-09-15T07:29:32.000
116,P3,Resolved,CLIENT-5094,CLIENT,2016-08-26T10:47:12.000,2016-09-01T10:35:25.000
117,P2,Closed,CLIENT-5095,CLIENT,2016-08-26T15:58:39.000,2016-08-31T16:10:25.000
118,P2,Closed,CLIENT-5096,CLIENT,2016-08-26T16:11:53.000,2016-08-31T16:23:02.000
119,P2,Resolved,CLIENT-5097,CLIENT,2016-08-26T17:10:34.000,2018-02-12T17:20:25.000
120,Needs_Triage,Resolved,CLIENT-5098,CLIENT,2016-08-26T17:23:40.000,2018-02-12T17:20:25.000
121,Needs_Triage,Resolved,SERVER-4798,SERVER,2016-08-30T08:22:24.000,2016-09-01T12:21:34.000
122,Needs_Triage,Resolved,SERVER-4800,SERVER,2016-08-30T13:24:00.000,2016-09-26T10:25:06.000
123,P3,Resolved,SERVER-4801,SERVER,2016-08-31T15:10:37.000,2016-11-16T11:41:08.000
124,P4,Resolved,CLIENT-5099,CLIENT,2016-08-31T16:19:05.000,2018-02-12T17:20:25.000
125,P3,Resolved,CLIENT-5100,CLIENT,2016-08-31T17:06:55.000,2016-09-07T11:03:27.000
126,P1,Resolved,CLIENT-5101,CLIENT,2016-08-31T18:20:19.000,2016-12-02T01:43:10.000
127,Needs_Triage,Resolved,CLIENT-5102,CLIENT,2016-08-31T18:46:30.000,2018-02-12T17:20:25.000
128,Needs_Triage,Closed,SERVER-4803,SERVER,2016-09-01T15:10:09.000,2016-11-01T09:13:51.000
129,Needs_Triage,Resolved,SERVER-4805,SERVER,2016-09-01T20:20:02.000,2018-02-12T17:22:34.000
130,Needs_Triage,Resolved,SERVER-4806,SERVER,2016-09-02T08:47:56.000,2018-02-12T17:22:34.000
131,Needs_Triage,Closed,SERVER-4810,SERVER,2016-09-05T08:16:49.000,2016-09-07T11:33:28.000
132,P2,Closed,SERVER-4811,SERVER,2016-09-05T08:18:42.000,2016-09-06T11:50:53.000
133,Needs_Triage,Resolved,SERVER-4812,SERVER,2016-09-05T08:35:12.000,2016-09-06T08:21:05.000
134,P3,Resolved,CLIENT-5106,CLIENT,2016-09-05T13:01:23.000,2018-05-21T15:20:10.000
135,P5,Resolved,CLIENT-5107,CLIENT,2016-09-05T13:01:35.000,2018-02-12T17:20:25.000
136,P2,Resolved,CLIENT-5108,CLIENT,2016-09-05T13:46:54.000,2016-09-06T16:37:41.000
137,Needs_Triage,Resolved,SERVER-4813,SERVER,2016-09-05T16:22:20.000,2016-09-07T09:27:46.000
138,Needs_Triage,Resolved,SERVER-4814,SERVER,2016-09-05T16:35:08.000,2016-09-07T16:08:11.000
139,Needs_Triage,Resolved,SERVER-4815,SERVER,2016-09-06T09:05:31.000,2016-10-18T12:39:21.000
140,Needs_Triage,Resolved,SERVER-4816,SERVER,2016-09-06T13:22:40.000,2018-02-12T17:22:34.000
141,P4,Resolved,CLIENT-5109,CLIENT,2016-09-06T14:35:08.000,2018-05-21T15:20:38.000
142,Needs_Triage,Closed,SERVER-4817,SERVER,2016-09-06T15:16:40.000,2016-09-16T11:45:02.000
143,Needs_Triage,Resolved,SERVER-4819,SERVER,2016-09-06T16:50:11.000,2016-09-07T10:41:48.000
144,Needs_Triage,Resolved,SERVER-4827,SERVER,2016-09-07T14:11:30.000,2016-09-07T16:05:39.000
145,Needs_Triage,Resolved,SERVER-4828,SERVER,2016-09-07T16:04:31.000,2018-02-12T17:22:34.000
146,Needs_Triage,Resolved,SERVER-4830,SERVER,2016-09-07T16:50:56.000,2018-02-12T17:22:34.000
147,Needs_Triage,Resolved,SERVER-4833,SERVER,2016-09-08T11:21:28.000,2018-02-12T17:22:34.000
148,P2,Resolved,CLIENT-5111,CLIENT,2016-09-08T13:20:59.000,2016-09-30T12:25:43.000
149,Needs_Triage,Resolved,SERVER-4835,SERVER,2016-09-08T18:45:24.000,2016-09-23T14:03:23.000
150,Needs_Triage,Resolved,SERVER-4838,SERVER,2016-09-09T08:40:30.000,2016-10-25T10:47:20.000
151,Needs_Triage,Resolved,SERVER-4839,SERVER,2016-09-09T08:48:50.000,2016-10-25T10:47:11.000
152,Needs_Triage,Resolved,SERVER-4841,SERVER,2016-09-09T16:14:50.000,2018-02-12T17:22:34.000
153,Needs_Triage,Resolved,SERVER-4844,SERVER,2016-09-12T10:35:15.000,2018-02-12T17:22:34.000
154,Needs_Triage,Resolved,CLIENT-5112,CLIENT,2016-09-12T10:49:39.000,2016-09-12T16:46:20.000
155,Needs_Triage,Closed,SERVER-4845,SERVER,2016-09-12T10:57:22.000,2016-10-04T16:21:15.000
156,Needs_Triage,Resolved,SERVER-4846,SERVER,2016-09-12T11:04:53.000,2018-02-12T17:22:34.000
157,P3,Resolved,SERVER-4847,SERVER,2016-09-12T12:53:23.000,2016-10-10T21:23:23.000
158,Needs_Triage,Closed,SERVER-4849,SERVER,2016-09-12T15:47:29.000,2016-09-23T13:54:40.000
159,P3,Resolved,CLIENT-5113,CLIENT,2016-09-12T16:24:02.000,2016-09-15T07:30:36.000
160,Needs_Triage,Closed,SERVER-4851,SERVER,2016-09-13T10:53:23.000,2016-10-25T10:46:57.000
161,Needs_Triage,Resolved,SERVER-4852,SERVER,2016-09-13T15:24:11.000,2018-02-12T17:22:34.000
162,P3,Resolved,CLIENT-5114,CLIENT,2016-09-13T19:51:03.000,2017-03-02T15:07:35.000
163,P2,Resolved,CLIENT-5116,CLIENT,2016-09-14T23:41:01.000,2016-09-26T12:37:58.000
164,P2,Resolved,CLIENT-5117,CLIENT,2016-09-14T23:51:28.000,2016-09-21T10:37:16.000
165,P2,Resolved,CLIENT-5118,CLIENT,2016-09-15T08:32:25.000,2016-11-11T10:51:12.000
166,Needs_Triage,Resolved,CLIENT-5119,CLIENT,2016-09-15T09:20:26.000,2016-09-15T11:12:50.000
167,Needs_Triage,Resolved,CLIENT-5120,CLIENT,2016-09-15T09:58:57.000,2016-09-20T16:33:45.000
168,P4,Resolved,CLIENT-5121,CLIENT,2016-09-15T10:15:34.000,2018-05-17T15:13:37.000
169,Needs_Triage,Resolved,SERVER-4855,SERVER,2016-09-15T10:59:38.000,2018-02-12T17:22:34.000
170,P1,Resolved,SERVER-4856,SERVER,2016-09-15T11:26:52.000,2016-09-15T13:46:42.000
171,Needs_Triage,Resolved,SERVER-4857,SERVER,2016-09-15T15:04:46.000,2016-09-30T10:38:07.000
172,P2,Resolved,CLIENT-5122,CLIENT,2016-09-16T09:06:18.000,2016-09-21T12:26:51.000
173,P2,Resolved,CLIENT-5123,CLIENT,2016-09-16T09:48:54.000,2016-10-04T10:19:10.000
174,P3,Resolved,SERVER-4859,SERVER,2016-09-16T11:33:07.000,2016-09-27T14:35:52.000
175,Needs_Triage,Resolved,SERVER-4860,SERVER,2016-09-16T11:46:03.000,2018-02-12T17:22:34.000
176,Needs_Triage,Resolved,SERVER-4861,SERVER,2016-09-16T11:49:22.000,2018-02-12T17:22:34.000
177,Needs_Triage,Resolved,SERVER-4863,SERVER,2016-09-16T15:09:54.000,2016-10-21T13:27:07.000
178,Needs_Triage,Resolved,SERVER-4865,SERVER,2016-09-16T16:01:32.000,2018-02-12T17:22:34.000
179,Needs_Triage,Resolved,SERVER-5211,SERVER,2016-09-19T09:41:15.000,2016-09-19T09:43:08.000
180,Needs_Triage,Closed,SERVER-4869,SERVER,2016-09-19T13:00:19.000,2016-09-21T09:07:24.000
181,Needs_Triage,Resolved,CLIENT-5124,CLIENT,2016-09-19T14:32:21.000,2016-09-21T08:16:03.000
182,P2,Resolved,CLIENT-5125,CLIENT,2016-09-19T15:19:52.000,2016-10-19T12:00:29.000
183,P3,New,CLIENT-5126,CLIENT,2016-09-19T16:59:11.000,
184,Needs_Triage,Resolved,CLIENT-5127,CLIENT,2016-09-19T17:04:55.000,2018-02-12T17:20:25.000
185,Needs_Triage,Resolved,CLIENT-5128,CLIENT,2016-09-19T17:06:57.000,2016-09-20T11:16:29.000
186,P3,Resolved,CLIENT-5129,CLIENT,2016-09-19T17:10:42.000,2018-05-21T15:21:35.000
187,Needs_Triage,Resolved,CLIENT-5130,CLIENT,2016-09-20T09:24:17.000,2016-09-20T15:26:28.000
188,P3,Resolved,SERVER-4874,SERVER,2016-09-20T12:06:27.000,2016-09-27T15:58:18.000
189,Needs_Triage,Resolved,SERVER-4875,SERVER,2016-09-20T14:41:45.000,2016-09-22T10:35:37.000
190,P3,Resolved,SERVER-4876,SERVER,2016-09-20T16:32:51.000,2018-02-12T17:22:34.000
191,P3,Resolved,CLIENT-5132,CLIENT,2016-09-20T17:24:05.000,2018-05-21T17:12:59.000
192,Needs_Triage,Closed,SERVER-4878,SERVER,2016-09-21T09:27:19.000,2016-10-06T15:55:42.000
193,P2,Resolved,CLIENT-5133,CLIENT,2016-09-21T09:42:48.000,2016-09-29T14:09:49.000
194,P2,Resolved,CLIENT-5134,CLIENT,2016-09-21T10:23:09.000,2016-10-12T10:33:55.000
195,P3,Resolved,CLIENT-5135,CLIENT,2016-09-21T10:24:56.000,2016-09-26T16:24:55.000
196,Needs_Triage,Resolved,SERVER-4879,SERVER,2016-09-21T10:48:32.000,2018-02-12T17:22:34.000
197,Needs_Triage,Resolved,SERVER-4880,SERVER,2016-09-21T12:59:44.000,2016-10-24T09:09:02.000
198,P3,Closed,SERVER-4883,SERVER,2016-09-21T16:03:58.000,2016-11-22T15:26:39.000
199,P2,Verified,CLIENT-5136,CLIENT,2016-09-21T17:16:16.000,
200,Needs_Triage,Resolved,CLIENT-5137,CLIENT,2016-09-21T17:25:20.000,2016-10-03T14:21:45.000
201,Needs_Triage,Resolved,SERVER-4885,SERVER,2016-09-22T11:25:02.000,2016-09-22T12:37:53.000
202,Needs_Triage,Resolved,SERVER-4886,SERVER,2016-09-22T14:58:10.000,2016-10-27T09:31:36.000
203,Needs_Triage,Resolved,SERVER-4888,SERVER,2016-09-23T09:42:13.000,2016-10-12T09:27:46.000
204,Needs_Triage,Resolved,CLIENT-5138,CLIENT,2016-09-23T10:00:34.000,2016-09-23T16:03:25.000
205,Needs_Triage,Resolved,CLIENT-5139,CLIENT,2016-09-23T10:08:00.000,2016-09-29T13:59:02.000
206,Needs_Triage,Resolved,CLIENT-5140,CLIENT,2016-09-23T10:53:24.000,2016-09-27T08:45:55.000
207,Needs_Triage,Resolved,CLIENT-5141,CLIENT,2016-09-23T10:53:30.000,2016-10-03T09:37:38.000
208,Needs_Triage,Resolved,CLIENT-5142,CLIENT,2016-09-23T10:56:13.000,2016-10-03T15:37:33.000
209,P3,Resolved,SERVER-4893,SERVER,2016-09-26T10:00:12.000,2016-11-21T09:20:27.000
210,Needs_Triage,Resolved,CLIENT-5143,CLIENT,2016-09-26T10:57:27.000,2016-09-29T14:09:18.000
211,P3,Resolved,CLIENT-5145,CLIENT,2016-09-27T14:03:18.000,2018-05-21T15:22:06.000
212,Needs_Triage,Resolved,SERVER-4899,SERVER,2016-09-27T14:03:34.000,2016-09-27T14:47:57.000
213,Needs_Triage,Resolved,CLIENT-5147,CLIENT,2016-09-28T13:40:28.000,2016-09-29T14:06:34.000
214,Needs_Triage,Resolved,CLIENT-5148,CLIENT,2016-09-28T13:43:29.000,2016-09-29T14:12:49.000
215,Needs_Triage,Resolved,SERVER-4901,SERVER,2016-09-28T16:30:14.000,2016-09-30T10:00:00.000
216,Needs_Triage,Resolved,SERVER-4903,SERVER,2016-09-29T04:32:46.000,2018-02-12T17:22:35.000
217,Needs_Triage,Resolved,SERVER-4904,SERVER,2016-09-29T08:14:52.000,2016-09-29T15:35:27.000
218,P3,Resolved,SERVER-4910,SERVER,2016-09-30T08:33:44.000,2018-02-12T17:22:35.000
219,P3,Closed,SERVER-4911,SERVER,2016-09-30T09:16:16.000,2016-10-10T11:30:03.000
220,Needs_Triage,Closed,SERVER-4912,SERVER,2016-09-30T10:49:42.000,2016-10-06T08:02:18.000
221,Needs_Triage,Resolved,CLIENT-5149,CLIENT,2016-09-30T15:19:19.000,2016-10-03T16:32:26.000
222,P2,Resolved,CLIENT-5150,CLIENT,2016-10-03T09:38:40.000,2016-10-21T11:00:35.000
223,P3,Resolved,SERVER-4922,SERVER,2016-10-04T10:26:00.000,2016-10-24T15:56:15.000
224,P3,Resolved,CLIENT-5152,CLIENT,2016-10-04T11:20:14.000,2016-11-03T17:26:49.000
225,P3,Resolved,CLIENT-5153,CLIENT,2016-10-04T11:23:56.000,2016-11-02T11:25:00.000
226,P1,Resolved,SERVER-4924,SERVER,2016-10-04T17:01:56.000,2016-10-24T11:08:26.000
227,P2,Resolved,CLIENT-5154,CLIENT,2016-10-05T09:42:20.000,2016-10-10T13:45:57.000
228,Needs_Triage,Resolved,SERVER-4930,SERVER,2016-10-05T17:11:10.000,2016-10-20T17:19:33.000
229,Needs_Triage,Closed,SERVER-4932,SERVER,2016-10-06T12:53:12.000,2016-10-06T14:28:01.000
230,P2,Resolved,SERVER-4933,SERVER,2016-10-06T13:23:48.000,2016-11-04T13:43:57.000
231,Needs_Triage,Resolved,SERVER-4938,SERVER,2016-10-10T09:43:50.000,2017-10-02T16:47:47.000
232,Needs_Triage,Resolved,SERVER-4940,SERVER,2016-10-10T16:09:25.000,2017-02-10T12:14:45.000
233,Needs_Triage,Resolved,SERVER-4941,SERVER,2016-10-10T17:05:39.000,2016-10-13T17:00:56.000
234,Needs_Triage,Resolved,SERVER-4943,SERVER,2016-10-11T09:24:52.000,2017-10-10T18:08:31.000
235,Needs_Triage,Closed,SERVER-4944,SERVER,2016-10-11T13:08:50.000,2016-11-01T13:36:08.000
236,Needs_Triage,Resolved,SERVER-4945,SERVER,2016-10-11T13:33:40.000,2016-11-29T15:41:57.000
237,P2,Resolved,CLIENT-5159,CLIENT,2016-10-11T15:52:51.000,2016-11-08T14:59:40.000
238,Needs_Triage,Resolved,SERVER-4947,SERVER,2016-10-11T17:31:41.000,2016-10-24T10:37:28.000
239,Needs_Triage,Resolved,SERVER-4948,SERVER,2016-10-11T22:58:54.000,2018-02-12T17:22:35.000
240,P4,Resolved,CLIENT-5160,CLIENT,2016-10-11T23:29:17.000,2017-02-22T15:06:34.000
241,P3,Resolved,CLIENT-5161,CLIENT,2016-10-11T23:33:13.000,2016-11-09T19:18:30.000
242,P3,Resolved,CLIENT-5162,CLIENT,2016-10-11T23:37:13.000,2016-11-09T10:46:36.000
243,P3,Resolved,CLIENT-5163,CLIENT,2016-10-11T23:39:12.000,2016-11-15T13:02:48.000
244,P4,Resolved,CLIENT-5164,CLIENT,2016-10-11T23:40:12.000,2018-02-12T17:20:25.000
245,P3,Resolved,CLIENT-5165,CLIENT,2016-10-11T23:40:58.000,2017-02-22T14:45:11.000
246,P2,Resolved,CLIENT-5166,CLIENT,2016-10-11T23:41:47.000,2016-11-08T14:13:24.000
247,P2,Resolved,CLIENT-5167,CLIENT,2016-10-11T23:50:12.000,2016-11-10T18:03:30.000
